ethnicity,HH7,CL13,CL2,FCD2H,FCD2E,FCD2D,FCD2A,WB4,WB6A,VT22A,VT22B,VT20,VT21,VT1,VT22X,MA2,MA3,MSTATUS,AF10,LS1,LS3,LS4,CSURV,HC5,HC4,WS7,WS1,WS11,WS14,child_depression
Tumbuka,North,3.0,False,NO,YES,NO,YES,31.0,PRIMARY,NO,NO,VERY SAFE,NEVER WALK ALONE AFTER DARK,NO,NO,38.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",SPRING: UNPROTECTED SPRING,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,1.0,False,NO,NO,NO,NO,25.0,PRIMARY,NO,NO,UNSAFE,UNSAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,3.0,True,NO,YES,YES,YES,33.0,PRIMARY,NO,NO,UNSAFE,NEVER WALK ALONE AFTER DARK,NO,NO,36.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,1.0,False,NO,NO,NO,NO,30.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,24.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",SPRING: UNPROTECTED SPRING,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,3.0,True,,,,,35.0,PRIMARY,NO,YES,VERY SAFE,VERY SAFE,NO,NO,42.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,9.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,,False,YES,NO,YES,NO,37.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,38.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",SPRING: UNPROTECTED SPRING,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,0.0,False,YES,NO,YES,YES,32.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,32.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,,4.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,1.0
Tumbuka,North,0.0,False,YES,NO,NO,NO,28.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,35.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,WORSE,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",SPRING: UNPROTECTED SPRING,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,3.0,False,YES,YES,YES,NO,25.0,PRIMARY,NO,NO,SAFE,VERY SAFE,NO,NO,26.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",SPRING: UNPROTECTED SPRING,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,0.0,True,NO,YES,YES,NO,28.0,PRIMARY,NO,NO,VERY SAFE,SAFE,NO,NO,35.0,NO,Currently married/in union,NO DIFFICULTY,VERY UNHAPPY,WORSENED,WORSE,5.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",NO FACILITY / BUSH / FIELD,,1.0
Tumbuka,North,0.0,False,YES,NO,NO,YES,26.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,28.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,WORSENED,BETTER,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",DUG WELL: UNPROTECTED WELL,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,NO,NO,NO,28.0,PRIMARY,NO,NO,SAFE,VERY SAFE,NO,NO,31.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,NO,NO,22.0,LOWER SECONDARY,NO,NO,UNSAFE,SAFE,NO,NO,37.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,4.0,False,YES,YES,YES,NO,23.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,UNSAFE,NO,NO,26.0,NO,Currently married/in union,SOME DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,1.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,0.0,False,NO,YES,NO,NO,34.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,35.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,3.0,THATCH / PALM LEAF,EARTH / SAND,"YES, AT LEAST ONCE",PIPED WATER: PIPED TO NEIGHBOUR,NO FACILITY / BUSH / FIELD,,1.0
Tumbuka,North,2.0,True,,,,,38.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,47.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",PIPED WATER: PIPED TO NEIGHBOUR,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,2.0,True,NO,YES,NO,NO,28.0,HIGHER,NO,NO,UNSAFE,VERY SAFE,NO,NO,,NotApplicable,Never married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,BETTER,0.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,3.0,False,YES,NO,YES,NO,38.0,PRIMARY,NO,NO,UNSAFE,UNSAFE,NO,NO,,NotApplicable,Never married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,BETTER,2.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",PIPED WATER: PIPED TO NEIGHBOUR,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,3.0,False,NO,YES,YES,NO,35.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,YES,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,1.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO NEIGHBOUR,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,7.0,False,,,,,34.0,LOWER SECONDARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,YES,YES,39.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",PIPED WATER: PIPED TO NEIGHBOUR,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Tumbuka,North,3.0,False,YES,NO,YES,YES,29.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,31.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",DUG WELL: UNPROTECTED WELL,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,5.0,False,,,,,39.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,41.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,4.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,1.0,False,NO,YES,NO,YES,36.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,UNSAFE,NO,NO,43.0,NO,Currently married/in union,SOME DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,,False,YES,YES,YES,YES,29.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,40.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,5.0,THATCH / PALM LEAF,EARTH / SAND,"YES, AT LEAST ONCE","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,5.0,True,,,,,40.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,47.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,3.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,0.0,False,NO,YES,NO,NO,27.0,PRIMARY,NO,NO,UNSAFE,VERY SAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,YES,YES,YES,YES,35.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,39.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,3.0,False,NO,YES,YES,YES,41.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,45.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,YES,YES,25.0,LOWER SECONDARY,NO,NO,SAFE,VERY SAFE,NO,NO,37.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,,False,NO,YES,YES,YES,25.0,LOWER SECONDARY,NO,NO,SAFE,VERY SAFE,NO,NO,29.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,NO FACILITY / BUSH / FIELD,,0.0
Lomwe,North,8.0,True,,,,,32.0,PRIMARY,NO,NO,VERY UNSAFE,VERY SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,4.0,False,YES,YES,YES,YES,37.0,LOWER SECONDARY,YES,YES,VERY UNSAFE,VERY SAFE,YES,NO,49.0,YES,Currently married/in union,NO DIFFICULTY,VERY UNHAPPY,WORSENED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,15.0,False,YES,YES,YES,YES,29.0,UPPER SECONDARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,31.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,1.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Ngoni,North,3.0,False,YES,YES,YES,YES,32.0,UPPER SECONDARY,NO,NO,VERY UNSAFE,VERY SAFE,NO,NO,41.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,1.0,False,NO,YES,NO,NO,23.0,LOWER SECONDARY,NO,NO,UNSAFE,UNSAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,5.0,True,YES,YES,NO,NO,33.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,YES,37.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,6.0,True,,,,,44.0,LOWER SECONDARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,47.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,4.0,False,NO,NO,NO,YES,31.0,LOWER SECONDARY,NO,NO,UNSAFE,VERY SAFE,NO,NO,31.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,0.0,False,NO,YES,YES,YES,26.0,LOWER SECONDARY,NO,NO,UNSAFE,SAFE,NO,NO,32.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,True,NO,YES,NO,NO,32.0,PRIMARY,NO,NO,VERY UNSAFE,SAFE,YES,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,4.0,THATCH / PALM LEAF,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,NO FACILITY / BUSH / FIELD,,0.0
Tumbuka,North,0.0,True,NO,YES,YES,NO,28.0,HIGHER,NO,YES,SAFE,VERY SAFE,YES,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,1.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,12.0,True,,,,,48.0,PRIMARY,NO,NO,VERY UNSAFE,SAFE,NO,NO,52.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,6.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,,False,NO,YES,YES,YES,28.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,40.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Tumbuka,North,9.0,True,,,,,42.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,50.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,MORE OR LESS THE SAME,5.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,5.0,True,,,,,36.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,41.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,NO,NO,27.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,29.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,1.0,True,NO,NO,YES,NO,43.0,PRIMARY,YES,YES,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,45.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,6.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Yao,North,0.0,False,NO,YES,YES,YES,37.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,40.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,WORSENED,BETTER,5.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,0.0
Tumbuka,North,7.0,False,YES,YES,YES,NO,34.0,PRIMARY,NO,NO,VERY UNSAFE,SAFE,YES,NO,40.0,YES,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,WORSENED,MORE OR LESS THE SAME,4.0,THATCH / PALM LEAF,EARTH / SAND,"YES, AT LEAST ONCE","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,2.0,False,NO,NO,YES,NO,26.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,0.0
Tumbuka,North,7.0,True,,,,,44.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,69.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,6.0,False,YES,NO,YES,NO,44.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,55.0,NO,Currently married/in union,SOME DIFFICULTY,VERY HAPPY,WORSENED,BETTER,7.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,True,NO,YES,NO,NO,39.0,LOWER SECONDARY,YES,YES,UNSAFE,SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Tumbuka,North,,False,NO,NO,YES,NO,24.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,27.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT","SURFACE WATER (RIVER, DAM, LAKE, POND, STREAM, CANAL, IRRIGATION CHANNEL)",PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,NO,NO,27.0,LOWER SECONDARY,NO,NO,UNSAFE,VERY SAFE,NO,NO,33.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,MORE OR LESS THE SAME,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,YES,YES,24.0,PRIMARY,NO,NO,SAFE,VERY SAFE,NO,NO,32.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,6.0,False,YES,YES,YES,YES,25.0,UPPER SECONDARY,NO,NO,VERY UNSAFE,VERY SAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,0.0,False,NO,YES,NO,YES,30.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,32.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",DUG WELL: PROTECTED WELL,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
