ethnicity,HH7,CL13,CL2,FCD2H,FCD2E,FCD2D,FCD2A,WB4,WB6A,VT22A,VT22B,VT20,VT21,VT1,VT22X,MA2,MA3,MSTATUS,AF10,LS1,LS3,LS4,CSURV,HC5,HC4,WS7,WS1,WS11,WS14,child_depression
Other ethnicity,North,,False,YES,NO,YES,NO,,,,,,,,,,NotApplicable,Never married/in union,,,,,0.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,,False,NO,NO,YES,NO,22.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,WORSENED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,10.0,True,,,,,45.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,47.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,0.0,False,YES,NO,YES,NO,33.0,PRIMARY,NO,NO,VERY SAFE,VERY SAFE,NO,NO,33.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,WORSENED,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO YARD / PLOT,PIT LATRINE: PIT LATRINE WITHOUT SLAB / OPEN PIT,IN OWN YARD / PLOT,0.0
Tumbuka,North,14.0,False,YES,YES,YES,YES,24.0,NoSchool,NO,NO,UNSAFE,VERY SAFE,NO,NO,36.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,3.0,True,,,,,45.0,PRIMARY,NO,NO,UNSAFE,SAFE,NO,NO,64.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,1.0
Other ethnicity,North,0.0,False,NO,YES,YES,NO,,,,,,,,,,NotApplicable,Formerly married/in union,,,,,0.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,NO FACILITY / BUSH / FIELD,,0.0
Other ethnicity,North,5.0,True,NO,YES,YES,YES,32.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,40.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,15.0,False,NO,YES,NO,YES,38.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,42.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,CEMENT,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,3.0,False,YES,YES,YES,YES,33.0,UPPER SECONDARY,NO,NO,SAFE,VERY SAFE,NO,NO,43.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO YARD / PLOT,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,1.0,True,,,,,41.0,UPPER SECONDARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,37.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,7.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,0.0,False,NO,YES,YES,YES,45.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,0.0,False,YES,NO,NO,YES,27.0,PRIMARY,NO,NO,SAFE,VERY SAFE,NO,NO,30.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,4.0,False,,,,,48.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,58.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,6.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,,False,YES,YES,YES,NO,22.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,26.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,,False,NO,NO,YES,NO,38.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,47.0,NO,Currently married/in union,SOME DIFFICULTY,VERY HAPPY,WORSENED,BETTER,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,10.0,False,NO,NO,YES,NO,39.0,LOWER SECONDARY,NO,NO,SAFE,SAFE,NO,NO,45.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,MORE OR LESS THE SAME,7.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,5.0,False,NO,NO,YES,NO,38.0,NoSchool,NO,NO,SAFE,SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,5.0,False,NO,YES,NO,NO,37.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,44.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,20.0,False,,,,,42.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,42.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,,False,NO,YES,YES,NO,45.0,NoSchool,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,VERY UNHAPPY,MORE OR LESS THE SAME,MORE OR LESS THE SAME,7.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,10.0,True,YES,NO,YES,YES,32.0,PRIMARY,NO,NO,SAFE,SAFE,NO,NO,41.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,4.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,6.0,False,YES,YES,YES,YES,36.0,PRIMARY,NO,NO,SAFE,VERY SAFE,NO,NO,42.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Tumbuka,North,1.0,False,NO,NO,YES,NO,21.0,PRIMARY,NO,YES,UNSAFE,VERY UNSAFE,NO,NO,26.0,NO,Currently married/in union,SOME DIFFICULTY,VERY HAPPY,WORSENED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,0.0,True,,,,,41.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,VERY UNSAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,WORSENED,MORE OR LESS THE SAME,5.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,,False,YES,NO,YES,NO,46.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,47.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,1.0,True,,YES,YES,NO,47.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,52.0,YES,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",DUG WELL: PROTECTED WELL,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,2.0,False,YES,NO,YES,YES,28.0,LOWER SECONDARY,NO,NO,VERY UNSAFE,VERY UNSAFE,NO,NO,37.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,WORSENED,BETTER,4.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,1.0
Other ethnicity,North,8.0,False,,,,,48.0,PRIMARY,NO,NO,VERY UNSAFE,VERY UNSAFE,NO,NO,,NotApplicable,Formerly married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,WORSENED,BETTER,3.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,2.0,True,,,,,,,,,,,,,,NotApplicable,Never married/in union,,,,,0.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,,False,YES,YES,YES,YES,27.0,UPPER SECONDARY,NO,NO,VERY UNSAFE,SAFE,NO,NO,36.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,BETTER,2.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,2.0,True,NO,YES,YES,YES,36.0,PRIMARY,NO,YES,VERY UNSAFE,VERY UNSAFE,NO,NO,38.0,NO,Currently married/in union,A LOT OF DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,6.0,False,NO,NO,NO,YES,46.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,NEVER WALK ALONE AFTER DARK,NO,NO,49.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,6.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,,False,YES,NO,YES,YES,20.0,UPPER SECONDARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,,NotApplicable,Never married/in union,NO DIFFICULTY,VERY HAPPY,MORE OR LESS THE SAME,BETTER,0.0,THATCH / PALM LEAF,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,,False,NO,NO,NO,NO,35.0,PRIMARY,NO,NO,VERY SAFE,SAFE,NO,NO,,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,IMPROVED,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,7.0,True,,,,,36.0,PRIMARY,NO,NO,UNSAFE,VERY SAFE,NO,NO,53.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,6.0,False,NO,YES,YES,NO,27.0,LOWER SECONDARY,NO,NO,VERY UNSAFE,SAFE,NO,NO,34.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,6.0,False,NO,NO,YES,NO,26.0,PRIMARY,NO,NO,NEVER WALK ALONE AFTER DARK,NEVER WALK ALONE AFTER DARK,NO,NO,30.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT UNHAPPY,WORSENED,BETTER,2.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,2.0,False,YES,YES,YES,YES,28.0,LOWER SECONDARY,NO,NO,VERY UNSAFE,VERY UNSAFE,NO,NO,35.0,NO,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO YARD / PLOT,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,0.0,False,NO,NO,YES,NO,36.0,NoSchool,NO,NO,VERY SAFE,VERY SAFE,NO,NO,46.0,YES,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,4.0,IRON SHEETS / METAL / TIN,EARTH / SAND,"NO, ALWAYS SUFFICIENT",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,ELSEWHERE,0.0
Other ethnicity,North,5.0,False,NO,NO,YES,YES,34.0,UPPER SECONDARY,NO,NO,VERY UNSAFE,SAFE,NO,NO,38.0,YES,Currently married/in union,NO DIFFICULTY,SOMEWHAT HAPPY,MORE OR LESS THE SAME,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,4.0,False,YES,YES,YES,NO,26.0,PRIMARY,NO,YES,UNSAFE,UNSAFE,NO,NO,29.0,NO,Currently married/in union,NO DIFFICULTY,VERY HAPPY,IMPROVED,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PUBLIC TAP / STANDPIPE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,0.0,False,YES,NO,YES,YES,24.0,PRIMARY,NO,NO,SAFE,SAFE,NO,YES,29.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO NEIGHBOUR,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Tumbuka,North,,True,YES,NO,YES,YES,24.0,LOWER SECONDARY,YES,NO,NEVER WALK ALONE AFTER DARK,VERY SAFE,NO,NO,34.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,1.0,IRON SHEETS / METAL / TIN,CEMENT,"YES, AT LEAST ONCE",TUBE WELL / BOREHOLE,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,0.0
Other ethnicity,North,3.0,False,YES,YES,YES,YES,25.0,UPPER SECONDARY,NO,NO,NEVER WALK ALONE AFTER DARK,SAFE,NO,NO,27.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,MORE OR LESS THE SAME,BETTER,2.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO YARD / PLOT,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
Other ethnicity,North,4.0,True,YES,YES,YES,YES,33.0,UPPER SECONDARY,NO,NO,VERY SAFE,UNSAFE,NO,NO,38.0,NO,Currently married/in union,NO DIFFICULTY,NEITHER HAPPY NOR UNHAPPY,IMPROVED,BETTER,3.0,IRON SHEETS / METAL / TIN,CEMENT,"NO, ALWAYS SUFFICIENT",PIPED WATER: PIPED TO YARD / PLOT,PIT LATRINE: PIT LATRINE WITH SLAB,IN OWN YARD / PLOT,1.0
